section,metric,target,value,extra
parity_point,objective_value,,5.0511811613296,
parity_point,marginal_fixed_gradient_norm,,0.655796536381041,
parity_point,max_marginal_gradient_parameter,,fixed_0,
parity_point,max_marginal_gradient_value,,-0.655796536381041,
parity_point,max_abs_marginal_gradient,,0.655796536381041,
latent_mode,newton_iterations,,1,
latent_mode,converged,,yes,
latent_mode,message,,Converged: latent gradient norm below tolerance.,
curvature,positive_definite,,yes,
curvature,min_eigenvalue,,5.01054878016581,
curvature,max_eigenvalue,,6.60605842793621,
curvature,condition_number_abs,,1.31843011968793,
backend_selection,detected_structure,,dense,
backend_selection,selected_backend,,dense_ldlt,
backend_selection,solver_recommendation,,LBFGS,
backend_selection,bandwidth,,3,
backend_selection,expected_complexity,,O(n^3),
backend_selection,supports_symbolic_reuse,,no,
backend_selection,selection_reason,,small matrix; dense LDLT preferred,
spectral_structure,available,,yes,
spectral_structure,positive_eigen_count,,4,
spectral_structure,near_zero_eigen_count,,0,
spectral_structure,negative_eigen_count,,0,
spectral_structure,largest_eigen_share,,0.291384759215163,
spectral_structure,effective_rank_entropy,,3.9772256974195,
spectral_structure,normalized_spectral_entropy,,0.995881216865985,
spectral_structure,participation_ratio,,3.95412929790155,
spectral_structure,stable_rank,,2.97862252080156,
spectral_structure,leading_spectral_gap_ratio,,1.14077833377841,
spectral_structure,eigen_count_for_50%,,2,
spectral_structure,eigen_count_for_90%,,4,
spectral_structure,eigen_count_for_95%,,4,
spectral_structure,eigen_count_for_99%,,4,
spectral_eigenvalue,eigenvalue,rank_1,6.60605842793621,cumulative_share=0.291384759215163
spectral_eigenvalue,eigenvalue,rank_2,5.79083440869362,cumulative_share=0.546811033178534
spectral_eigenvalue,eigenvalue,rank_3,5.26381423656281,cumulative_share=0.778991123713
spectral_eigenvalue,eigenvalue,rank_4,5.01054878016581,cumulative_share=1
huu_structure,random_effects,,4,
huu_structure,total_entries,,16,
huu_structure,structural_nonzeros,,16,
huu_structure,structural_density,,1,
effective_sparsity,entries_required,90%,6,compression_vs_structural=2.66666666666667
effective_sparsity,entries_required,95%,9,compression_vs_structural=1.77777777777778
effective_sparsity,entries_required,97%,10,compression_vs_structural=1.6
effective_sparsity,entries_required,98%,11,compression_vs_structural=1.45454545454545
effective_sparsity,entries_required,99%,13,compression_vs_structural=1.23076923076923
effective_sparsity,entries_required,99.5%,14,compression_vs_structural=1.14285714285714
effective_sparsity,entries_required,99.9%,16,compression_vs_structural=1
effective_sparsity,entries_required,100%,16,compression_vs_structural=1
effective_bandwidth,bandwidth,90%,0,entry_count_if_banded=4
effective_bandwidth,bandwidth,95%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,97%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,98%,1,entry_count_if_banded=10
effective_bandwidth,bandwidth,99%,2,entry_count_if_banded=14
effective_bandwidth,bandwidth,99.5%,2,entry_count_if_banded=14
effective_bandwidth,bandwidth,99.9%,3,entry_count_if_banded=16
effective_bandwidth,bandwidth,100%,3,entry_count_if_banded=16
uncertainty,covariance_available,,yes,
uncertainty,correlation_available,,yes,
uncertainty,min_variance,,0.176611672346553,index=0
uncertainty,max_variance,,0.181011065489628,index=3
uncertainty,max_abs_correlation,,0.0851972289113325,pair=0;1
uncertainty,count_abs_corr_gt_0_5,,0,
uncertainty,count_abs_corr_gt_0_8,,0,
uncertainty,count_abs_corr_gt_0_9,,0,
parameter_influence,importance,latent_1,2.87362325635419,index=1;sd=0.421791977206735;variance=0.177908472035967;variance_share=0.249304866261558;correlation_centrality=0.184699276271753;curvature_column_norm=5.75073548238375;importance_share=0.261156172182867
parameter_influence,importance,latent_2,2.85597286249234,index=2;sd=0.422003457830719;variance=0.178086918421084;variance_share=0.249554924910633;correlation_centrality=0.179780997300457;curvature_column_norm=5.73636358518653;importance_share=0.259552096461289
parameter_influence,importance,latent_0,2.66397352145339,index=0;sd=0.420251915339541;variance=0.176611672346553;variance_share=0.247487648287407;correlation_centrality=0.106117624169834;curvature_column_norm=5.73084800636272;importance_share=0.242103110114003
parameter_influence,importance,latent_3,2.60989710657068,index=3;sd=0.425453952255268;variance=0.181011065489628;variance_share=0.253652560540403;correlation_centrality=0.0988000839054795;curvature_column_norm=5.58280089702708;importance_share=0.237188621241841
parameter_influence,correlation_pair,latent_0__latent_1,-0.0851972289113325,i=0;j=1;abs_correlation=0.0851972289113325
parameter_influence,correlation_pair,latent_1__latent_2,-0.0832072736311268,i=1;j=2;abs_correlation=0.0832072736311268
parameter_influence,correlation_pair,latent_2__latent_3,-0.0790793192935074,i=2;j=3;abs_correlation=0.0790793192935074
parameter_influence,correlation_pair,latent_0__latent_2,-0.0174944043758226,i=0;j=2;abs_correlation=0.0174944043758226
parameter_influence,correlation_pair,latent_1__latent_3,-0.0162947737292935,i=1;j=3;abs_correlation=0.0162947737292935
parameter_influence,correlation_pair,latent_0__latent_3,-0.00342599088267868,i=0;j=3;abs_correlation=0.00342599088267868
correlation_graph,abs_correlation_threshold,,0.5,
correlation_graph,node_count,,4,
correlation_graph,edge_count,,0,
correlation_graph,average_degree,,0,
